投资主体简称,投资主体全称,已过投决公司简称,已过投决公司全称,历史信息关键词
,,烁科中科信,北京烁科中科信电子装备有限公司,
,,国博电子,南京国博电子有限公司,
,,万丰飞机,万丰飞机工业有限公司,
,,灿芯半导体,灿芯半导体（上海）有限公司,
,,厚凯医疗,厚凯（北京）医疗科技有限公司,
,,长城网际,中电长城网际系统应用有限公司,
,,山东衣拉拉,山东衣拉拉服饰有限公司,
,,青藤云安全,北京升鑫网络科技有限公司,
,,拨云生物,拨云生物医药科技（广州）有限公司,
,,贝康医疗,江苏双螺旋生物科技有限公司,
,,睿力集成,睿力集成电路有限公司,
,,国货航,中国国际货运航空有限公司,
,,微众信用,深圳微众信用科技股份有限公司,
,,快仓科技,上海快仓智能科技有限公司,
,,健康力,健康力（北京）医疗科技有限公司,
,,威马汽车,威马智慧出行科技（上海）有限公司,
,,威马智慧,威马智慧出行科技（上海）有限公司,
,,超美斯立项,超美斯新材料股份有限公司,
,,中芯聚源,聚源中企芯（绍兴）股权投资基金（有限合伙）,
,,华道信息,华道信息处理（苏州）有限公司,
,,华道数据,华道信息处理（苏州）有限公司,
,,衡泰软件,杭州衡泰软件有限公司,
,,沈大内窥镜,沈阳沈大内窥镜有限公司,
,,中科航星,中科航星科技有限公司,
,,百德医疗,百德（苏州）医疗有限公司,
,,格威石油仪器,西安格威石油仪器有限公司,
,,搜电科技,深圳市搜电科技发展有限公司,
,,博泰悦臻,上海博泰悦臻电子设备制造有限公司,
,,有感科技,北京有感科技有限责任公司,
,,擎朗智能,上海擎朗智能科技有限公司,
,,丰原生化,安徽丰原生物化学股份有限公司,
,,礼进生物,礼进生物医药科技（上海）有限公司,
,,美迪凯,杭州美迪凯光电科技股份有限公司,
,,魔点科技,杭州魔点科技有限公司,
,,鑫华半导体,江苏鑫华半导体材料科技有限公司,
,,宝丰光伏,宁夏宝丰电力运营管理有限公司,
,,云丁科技,云丁网络技术（北京）有限公司,
,,安声科技,北京安声科技有限公司,
,,蜻蜓FM,上海麦克风文化传媒有限公司,
,,路歌/维天运通,合肥维天运通信息科技股份有限公司,
,,路歌/维天运通,合肥维天运通信息科技股份有限公司,
,,天地汇,上海天地汇企业管理有限责任公司,
,,有研半导体,有研半导体材料有限公司,
,,西安奕斯伟,西安奕斯伟材料科技有限公司,
,,松鼠AI立项 ,上海松鼠课堂人工智能科技有限公司,
,,西安智多晶,西安智多晶微电子有限公司,
,,郑明冷链,上海郑明现代物流有限公司,
,,赛领基金二期,赛领国际投资基金二期,
,,多禧生物,杭州多禧生物科技有限公司,
,,中国宏桥,中国宏桥集团有限公司,
,,远想生物,广州远想生物科技有限公司,
,,蔚能电池,武汉蔚能电池资产有限公司,
,,米飞泰克科技,深圳米飞泰克科技有限公司,
,,先声诊断,江苏先声医学诊断有限公司,
,,鲁汶半导体,江苏鲁汶仪器有限公司,
,,凯赛生物,上海凯赛生物技术股份有限公司,
,,普渡机器人,深圳市普渡科技有限公司,
,,凯盛新材,山东凯盛新材股份有限公司,
,,声智科技,北京声智科技有限公司,
,,君圣泰,"HighTide Therapeutics, Inc./深圳君圣泰生物技术有限公司",
,,驰达飞机,西安驰达飞机零部件制造股份有限公司,
,,C项目私有化项目,"泰邦生物制品集团（China Biologic Products Holdings,Inc.",
,,明略数据,Leading Smart Holdings Limited (匯智控股有限公司，注册于开曼群岛的有限责任公司),
,,岸阔医药,OnQuality Pharmaceuticals Ltd.,
,,睿力集成,睿力集成电路有限公司,
,,天能股份,天能电池集团股份有限公司,
,,快仓科技,上海快仓智能科技有限公司,
,,Gamma项目,合肥瑞成产业投资有限公司,
,,得一微,深圳市得一微电子有限责任公司,
,,贝壳找房,贝壳控股有限公司,
,,鑫景特玻,重庆鑫景特种玻璃有限公司,
,,上海赛连/小鱼易连,上海赛连信息科技有限公司,
,,上海赛连/小鱼易连,上海赛连信息科技有限公司,
,,多点新鲜,Dmall Inc,
,,益方生物,益方生物科技（上海）有限公司,
,,中电海康,中电海康（杭州）股权投资合伙企业（有限合伙）,
,,斯俊慕,上海斯俊慕智能科技有限公司,
,,壁仞智能,上海壁仞智能科技有限公司,
,,数盾科技,北京数盾信息科技有限公司,
,,瑞云科技,深圳市瑞云科技有限公司,
,,鲟龙科技,杭州千岛湖鲟龙科技股份有限公司,
,,地平线机器人,北京地平线机器人技术研发有限公司,
,,惠泰医疗,深圳惠泰医疗器械股份有限公司,
,,袋鼠云,杭州玳数科技有限公司,
,,归创通桥,浙江归创医疗器械有限公司,
,,成大生物,辽宁成大生物股份有限公司,
,,亚辉龙,深圳市亚辉龙生物科技股份有限公司,
,,鸿基创能,鸿基创能科技（广州）有限公司,
,,红山科技,北京红山信息科技研究院有限公司,
,,编程猫,深圳点猫科技有限公司,
,,国鸿氢能,广东国鸿氢能科技有限公司,
,,以心医疗,MitrAssist Holdings Limited（开曼公司，以下简称“以心医疗”或“公司”），其经营主体为上海以心医疗器械有限公司􀀖,
,,天马轴承,浙江天马轴承集团有限公司,
,,科德数控,科德数控股份有限公司,
,,南威软件,南威软件股份有限公司,
,,浩云科技,浩云科技股份有限公司,
,,爱美客,爱美客技术发展股份有限公司,
,,熊猫乳品,熊猫乳品集团股份有限公司,
,,广联航空,广联航空工业股份有限公司,
